declarationNumber,declarationType,declarationDate,state,county,incidentType,incidentTitle,startDate,endDate,closeDate,individualAssistanceProgram,individualsAndHouseholdsProgram,publicAssistanceProgram,hazardMitigationProgram,year,month
DR-32,Disaster,1955-04-01,HI,,Volcano,Volcano,04/01/1955,04/01/1955,06/01/1957,Yes,No,Yes,Yes,1955,4
DR-33,Disaster,1955-05-25,CO,,Flood,Flood,05/25/1955,05/25/1955,04/01/1957,Yes,No,Yes,Yes,1955,5
DR-34,Disaster,1955-05-27,KS,,Tornado,Tornado,05/27/1955,05/27/1955,04/01/1957,Yes,No,Yes,Yes,1955,5
DR-35,Disaster,1955-06-01,OK,,Flood,Flood and Tornado,06/01/1955,06/01/1955,12/01/1959,Yes,No,Yes,Yes,1955,6
DR-36,Disaster,1955-06-21,NV,,Flood,Flood,06/21/1955,06/21/1955,10/01/1957,Yes,No,Yes,Yes,1955,6
DR-37,Disaster,1955-08-13,NC,,Hurricane,Hurricanes,08/13/1955,08/13/1955,02/10/1961,Yes,No,Yes,Yes,1955,8
DR-38,Disaster,1955-08-15,NM,,Flood,Flood,08/15/1955,08/15/1955,06/01/1959,Yes,No,Yes,Yes,1955,8
DR-39,Disaster,1955-08-20,RI,,Hurricane,Hurricane and Flood,08/20/1955,08/20/1955,04/01/1961,Yes,No,Yes,Yes,1955,8
DR-40,Disaster,1955-08-20,PA,,Flood,Floods and Rains,08/20/1955,08/20/1955,01/01/1962,Yes,No,Yes,Yes,1955,8
DR-41,Disaster,1955-08-20,NJ,,Hurricane,Hurricane and Floods,08/20/1955,08/20/1955,02/01/1957,Yes,No,Yes,Yes,1955,8
DR-42,Disaster,1955-08-20,CT,,Hurricane,"Hurricane, Torrential Rain, and Floods",08/20/1955,08/20/1955,11/20/1962,Yes,No,Yes,Yes,1955,8
DR-43,Disaster,1955-08-20,MA,,Hurricane,Hurricane and Floods,08/20/1955,08/20/1955,03/20/1962,Yes,No,Yes,Yes,1955,8
DR-44,Disaster,1955-08-20,SC,,Hurricane,Hurricanes,08/20/1955,08/20/1955,01/01/1959,Yes,No,Yes,Yes,1955,8
DR-45,Disaster,1955-08-22,NY,,Hurricane,Hurricane and Floods,08/22/1955,08/22/1955,02/01/1957,Yes,No,Yes,Yes,1955,8
DR-46,Disaster,1955-12-22,AK,,Other,Severe Hardship,12/22/1955,12/22/1955,12/01/1956,Yes,No,Yes,Yes,1955,12
DR-47,Disaster,1955-12-23,CA,,Flood,Flood,12/23/1955,12/23/1955,08/12/1968,Yes,No,Yes,Yes,1955,12
DR-48,Disaster,1955-12-24,NV,,Flood,Flood,12/24/1955,12/24/1955,09/01/1961,Yes,No,Yes,Yes,1955,12
DR-49,Disaster,1955-12-29,OR,,Flood,Flood,12/29/1955,12/29/1955,10/01/1960,Yes,No,Yes,Yes,1955,12
DR-50,Disaster,1956-02-25,WA,,Flood,Flood,02/25/1956,02/25/1956,07/01/1961,Yes,No,Yes,Yes,1956,2
DR-51,Disaster,1956-03-15,PA,,Flood,Flood,03/15/1956,03/15/1956,06/01/1959,Yes,No,Yes,Yes,1956,3
DR-52,Disaster,1956-03-29,NY,,Flood,Flood,03/29/1956,03/29/1956,03/01/1957,Yes,No,Yes,Yes,1956,3
DR-53,Disaster,1956-04-05,MI,,Tornado,Tornado,04/05/1956,04/05/1956,04/30/1956,Yes,No,Yes,Yes,1956,4
DR-54,Disaster,1956-04-07,OK,,Tornado,Tornadoes,04/07/1956,04/07/1956,06/01/1959,Yes,No,Yes,Yes,1956,4
DR-55,Disaster,1956-04-21,ID,,Flood,Floods,04/21/1956,04/21/1956,04/01/1961,Yes,No,Yes,Yes,1956,4
DR-56,Disaster,1956-04-24,NC,,Storm,Severe Storm,04/24/1956,04/24/1956,09/01/1957,Yes,No,Yes,Yes,1956,4
DR-57,Disaster,1956-05-17,OH,,Other,Wind Storm,05/17/1956,05/17/1956,06/01/1959,Yes,No,Yes,Yes,1956,5
DR-58,Disaster,1956-05-21,PA,,Storm,Severe Storm,05/21/1956,05/21/1956,06/01/1959,Yes,No,Yes,Yes,1956,5
DR-59,Disaster,1956-06-12,CO,,Flood,Flood,06/12/1956,06/12/1956,04/01/1959,Yes,No,Yes,Yes,1956,6
DR-60,Disaster,1956-07-20,OR,,Flood,Storm and Flood,07/20/1956,07/20/1956,11/01/1959,Yes,No,Yes,Yes,1956,7
DR-61,Disaster,1956-08-09,PA,,Storm,Storm,08/09/1956,08/09/1956,06/01/1959,Yes,No,Yes,Yes,1956,8
DR-62,Disaster,1956-08-18,PR,,Hurricane,Hurricane,08/18/1956,08/18/1956,08/01/1959,Yes,No,Yes,Yes,1956,8
DR-63,Disaster,1956-08-31,NV,,Flood,Flood,08/31/1956,08/31/1956,09/05/1956,Yes,No,Yes,Yes,1956,8
DR-64,Disaster,1956-10-04,LA,,Hurricane,Hurricane,10/04/1956,10/04/1956,03/01/1960,Yes,No,Yes,Yes,1956,10
DR-65,Disaster,1956-12-29,CA,,Fire,Forest Fire,12/29/1956,12/29/1956,04/01/1959,Yes,No,Yes,Yes,1956,12
DR-66,Disaster,1957-01-31,KY,,Flood,Flood,01/31/1957,01/31/1957,08/01/1959,Yes,No,Yes,Yes,1957,1
DR-67,Disaster,1957-01-31,WV,,Flood,Flood,01/31/1957,01/31/1957,10/01/1959,Yes,No,Yes,Yes,1957,1
DR-68,Disaster,1957-02-01,VA,,Flood,Floods,02/01/1957,02/01/1957,03/01/1958,Yes,No,Yes,Yes,1957,2
DR-69,Disaster,1957-03-01,OR,,Flood,Flood,03/01/1957,03/01/1957,06/01/1960,Yes,No,Yes,Yes,1957,3
DR-70,Disaster,1957-03-06,WA,,Flood,Floods,03/06/1957,03/06/1957,01/01/1961,Yes,No,Yes,Yes,1957,3
DR-71,Disaster,1957-03-16,HI,,Other,Tidal Wave,03/16/1957,03/16/1957,05/01/1959,Yes,No,Yes,Yes,1957,3
DR-72,Disaster,1957-04-29,TX,,Hurricane,"Hurricane, Rain, Wind, Hail, and Floods",04/29/1957,04/29/1957,03/01/1961,Yes,No,Yes,Yes,1957,4
DR-73,Disaster,1957-05-16,LA,,Hurricane,Floods and Hurricane,05/16/1957,05/16/1957,08/01/1960,Yes,No,Yes,Yes,1957,5
DR-74,Disaster,1957-05-18,OK,,Flood,Flood,05/18/1957,05/18/1957,08/01/1960,Yes,No,Yes,Yes,1957,5
DR-75,Disaster,1957-05-22,MO,,Tornado,Tornadoes and Floods,05/22/1957,05/22/1957,06/01/1959,Yes,No,Yes,Yes,1957,5
DR-76,Disaster,1957-05-27,ID,,Flood,Flood,05/27/1957,05/27/1957,12/01/1960,Yes,No,Yes,Yes,1957,5
DR-77,Disaster,1957-05-29,AR,,Tornado,"Tornadoes, Rain, Hail, and Floods",05/29/1957,05/29/1957,01/28/1966,Yes,No,Yes,Yes,1957,5
DR-78,Disaster,1957-06-22,IL,,Flood,Floods,06/22/1957,06/22/1957,03/01/1959,Yes,No,Yes,Yes,1957,6
DR-79,Disaster,1957-06-22,ND,,Tornado,Tornado,06/22/1957,06/22/1957,04/01/1959,Yes,No,Yes,Yes,1957,6
DR-80,Disaster,1957-06-22,MN,,Flood,Floods,06/22/1957,06/22/1957,06/01/1960,Yes,No,Yes,Yes,1957,6
DR-81,Disaster,1957-09-05,KS,,Flood,Floods,09/05/1957,09/05/1957,01/01/1959,Yes,No,Yes,Yes,1957,9
DR-82,Disaster,1958-04-04,CA,,Flood,Heavy Rainstorms and Flood,04/04/1958,04/04/1958,08/01/1961,Yes,No,Yes,Yes,1958,4
DR-83,Disaster,1958-05-15,AR,,Flood,Heavy Rainstorms and Floods,05/15/1958,05/15/1958,08/01/1960,Yes,No,Yes,Yes,1958,5
DR-84,Disaster,1958-05-20,LA,,Flood,Floods,05/20/1958,05/20/1958,09/01/1960,Yes,No,Yes,Yes,1958,5
DR-85,Disaster,1958-06-06,TX,,Tornado,"Tornadoes, Rain, Hail and Floods",06/06/1958,06/06/1958,03/01/1961,Yes,No,Yes,Yes,1958,6
DR-86,Disaster,1958-07-05,IA,,Flood,Floods,07/05/1958,07/05/1958,09/01/1960,Yes,No,Yes,Yes,1958,7
DR-87,Disaster,1958-10-01,NC,,Hurricane,Hurricane and Severe Storm,10/01/1958,10/01/1958,12/01/1960,Yes,No,Yes,Yes,1958,10
DR-88,Disaster,1958-11-06,KS,,Flood,Floods,11/06/1958,11/06/1958,03/01/1961,Yes,No,Yes,Yes,1958,11
DR-89,Disaster,1959-01-23,PA,,Flood,Floods,01/23/1959,01/23/1959,03/01/1962,Yes,No,Yes,Yes,1959,1
DR-90,Disaster,1959-01-23,OH,,Flood,Floods,01/23/1959,01/23/1959,02/26/1963,Yes,No,Yes,Yes,1959,1
DR-91,Disaster,1959-01-29,IN,Clay County,Flood,Flood,01/29/1959,01/29/1959,11/01/1960,Yes,No,Yes,Yes,1959,1
DR-92,Disaster,1959-07-08,OK,,Flood,Flood,07/08/1959,07/08/1959,05/01/1961,Yes,No,Yes,Yes,1959,7
DR-93,Disaster,1959-07-08,TX,,Flood,Floods,07/08/1959,07/08/1959,01/27/1961,Yes,No,Yes,Yes,1959,7
DR-94,Disaster,1959-08-16,HI,,Hurricane,Hurricane Dot,08/16/1959,08/16/1959,02/27/1961,Yes,No,Yes,Yes,1959,8
DR-95,Disaster,1959-11-09,OK,,Flood,Heavy Rains and Floods,11/09/1959,11/09/1959,05/19/1961,Yes,No,Yes,Yes,1959,11
DR-96,Disaster,1960-01-21,HI,,Earthquake,Earthquakes and Volcanic Disturbances,01/21/1960,01/21/1960,06/09/1961,Yes,No,Yes,Yes,1960,1
DR-97,Disaster,1960-03-23,FL,,Other,Severe Weather Conditions,03/23/1960,03/23/1960,03/20/1962,Yes,No,Yes,Yes,1960,3
DR-98,Disaster,1960-04-04,NE,,Flood,Floods,04/04/1960,04/04/1960,03/20/1962,Yes,No,Yes,Yes,1960,4
DR-99,Disaster,1960-04-08,SD,,Flood,Floods,04/08/1960,04/08/1960,11/02/1961,Yes,No,Yes,Yes,1960,4
DR-100,Disaster,1960-04-20,MO,,Flood,Floods,04/20/1960,04/20/1960,03/20/1962,Yes,No,Yes,Yes,1960,4
DR-101,Disaster,1960-05-25,HI,,Other,Tidal Waves,05/25/1960,05/25/1960,08/13/1962,Yes,No,Yes,Yes,1960,5
DR-102,Disaster,1960-05-28,AR,,Tornado,Tornadoes and Floods,05/28/1960,05/28/1960,07/23/1962,Yes,No,Yes,Yes,1960,5
DR-103,Disaster,1960-07-15,TX,,Storm,"Heavy Rains, Hail, Floods, and Tornadoes",07/15/1960,07/15/1960,10/04/1962,Yes,No,Yes,Yes,1960,7
DR-104,Disaster,1960-07-15,OK,,Storm,"Heavy Rains, Hail, Floods, and Tornadoes",07/15/1960,07/15/1960,03/20/1962,Yes,No,Yes,Yes,1960,7
DR-105,Disaster,1960-07-22,ID,,Fire,Fires,07/22/1960,07/22/1960,09/20/1961,Yes,No,Yes,Yes,1960,7
DR-106,Disaster,1960-09-12,FL,,Hurricane,Hurricane Donna,09/12/1960,09/12/1960,05/24/1962,Yes,No,Yes,Yes,1960,9
DR-107,Disaster,1960-09-16,NC,,Hurricane,Hurricane Donna,09/16/1960,09/16/1960,03/30/1962,Yes,No,Yes,Yes,1960,9
DR-108,Disaster,1961-02-27,MS,,Flood,Floods,02/27/1961,02/27/1961,08/23/1962,Yes,No,Yes,Yes,1961,2
DR-109,Disaster,1961-02-27,AL,,Flood,Floods,02/27/1961,02/27/1961,08/22/1962,Yes,No,Yes,Yes,1961,2
DR-110,Disaster,1961-03-02,GA,,Flood,Floods,03/02/1961,03/02/1961,07/17/1962,Yes,No,Yes,Yes,1961,3
DR-111,Disaster,1961-03-31,IA,,Flood,Floods,03/31/1961,03/31/1961,10/23/1962,Yes,No,Yes,Yes,1961,3
DR-112,Disaster,1961-05-16,AR,,Flood,Floods and Tornadoes,05/16/1961,05/16/1961,01/26/1966,Yes,No,Yes,Yes,1961,5
DR-113,Disaster,1961-05-20,IN,,Flood,Floods,05/20/1961,05/20/1961,08/29/1963,Yes,No,Yes,Yes,1961,5
DR-114,Disaster,1961-05-27,MO,,Flood,Floods,05/27/1961,05/27/1961,12/31/1962,Yes,No,Yes,Yes,1961,5
DR-115,Disaster,1961-05-27,IL,,Flood,Floods and Tornadoes,05/27/1961,05/27/1961,10/14/1963,Yes,No,Yes,Yes,1961,5
DR-116,Disaster,1961-06-26,ID,,Flood,Floods,06/26/1961,06/26/1961,04/03/1963,Yes,No,Yes,Yes,1961,6
DR-117,Disaster,1961-07-23,WV,,Flood,Floods,07/23/1961,07/23/1961,03/22/1963,Yes,No,Yes,Yes,1961,7
DR-118,Disaster,1961-09-16,TX,,Hurricane,Hurricane Carla,09/16/1961,09/16/1961,05/04/1964,Yes,No,Yes,Yes,1961,9
DR-119,Disaster,1961-11-16,CA,,Fire,Fire,11/16/1961,11/16/1961,08/01/1963,Yes,No,Yes,Yes,1961,11
DR-120,Disaster,1962-02-14,ID,,Flood,Floods,02/14/1962,02/14/1962,02/19/1964,Yes,No,Yes,Yes,1962,2
DR-121,Disaster,1962-02-22,NV,,Flood,Floods,02/22/1962,02/22/1962,08/29/1967,Yes,No,Yes,Yes,1962,2
DR-122,Disaster,1962-03-06,CA,,Flood,Floods,03/06/1962,03/06/1962,02/03/1964,Yes,No,Yes,Yes,1962,3
DR-123,Disaster,1962-03-09,VA,,Flood,"Severe Storms, High Tides, and Flooding",03/09/1962,03/09/1962,06/18/1964,Yes,No,Yes,Yes,1962,3
DR-124,Disaster,1962-03-09,NJ,,Flood,"Severe Storm, High Tides, and Flooding",03/09/1962,03/09/1962,10/20/1969,Yes,No,Yes,Yes,1962,3
DR-125,Disaster,1962-03-09,WV,,Flood,"Severe Storm, High Tides, and Flooding",03/09/1962,03/09/1962,06/23/1964,Yes,No,Yes,Yes,1962,3
DR-126,Disaster,1962-03-09,DE,,Flood,"Severe Storms, High Tides, and Flooding",03/09/1962,03/09/1962,02/24/1964,Yes,No,Yes,Yes,1962,3
DR-127,Disaster,1962-03-09,MD,,Flood,"Severe Storms, High Tides, and Flooding",03/09/1962,03/09/1962,12/19/1963,Yes,No,Yes,Yes,1962,3
DR-128,Disaster,1962-03-12,KY,,Flood,Floods,03/12/1962,03/12/1962,11/09/1964,Yes,No,Yes,Yes,1962,3
DR-129,Disaster,1962-03-16,NY,,Flood,"Severe Storm, High Tides, and Flooding",03/16/1962,03/16/1962,11/09/1964,Yes,No,Yes,Yes,1962,3
DR-130,Disaster,1962-03-16,NC,,Flood,"Severe Storm, High Tides, and Flooding",03/16/1962,03/16/1962,10/14/1963,Yes,No,Yes,Yes,1962,3
DR-131,Disaster,1962-05-10,NE,,Flood,Floods,05/10/1962,05/10/1962,02/28/1964,Yes,No,Yes,Yes,1962,5
DR-132,Disaster,1962-07-27,SD,,Flood,Floods and Tornadoes,07/27/1962,07/27/1962,01/06/1964,Yes,No,Yes,Yes,1962,7
DR-133,Disaster,1962-09-05,IA,,Flood,Floods,09/05/1962,09/05/1962,06/23/1964,Yes,No,Yes,Yes,1962,9
DR-134,Disaster,1962-09-05,NE,,Flood,Floods,09/05/1962,09/05/1962,03/26/1964,Yes,No,Yes,Yes,1962,9
DR-135,Disaster,1962-10-10,MS,,Chemical,Chlorine Barge Accident,10/10/1962,10/10/1962,06/02/1970,Yes,No,Yes,Yes,1962,10
DR-136,Disaster,1962-10-16,OR,,Storm,Severe Storms,10/16/1962,10/16/1962,03/03/1964,Yes,No,Yes,Yes,1962,10
DR-137,Disaster,1962-10-20,WA,,Storm,Severe Storms,10/20/1962,10/20/1962,06/29/1964,Yes,No,Yes,Yes,1962,10
DR-138,Disaster,1962-10-24,CA,,Flood,Severe Storms and Flooding,10/24/1962,10/24/1962,12/03/1964,Yes,No,Yes,Yes,1962,10
DR-139,Disaster,1962-11-05,LA,,Chemical,Chlorine Barge Accident,11/05/1962,11/05/1962,07/12/1963,Yes,No,Yes,Yes,1962,11
DR-140,Disaster,1962-11-12,GU,,Typhoon,Typhoon Karen,11/12/1962,11/12/1962,12/26/1967,Yes,No,Yes,Yes,1962,11
DR-141,Disaster,1962-12-17,FL,,Flood,High Tides,12/17/1962,12/17/1962,02/28/1964,Yes,No,Yes,Yes,1962,12
DR-142,Disaster,1963-02-14,NV,,Flood,Floods,02/14/1963,02/14/1963,11/06/1964,Yes,No,Yes,Yes,1963,2
DR-143,Disaster,1963-02-14,ID,,Flood,Floods,02/14/1963,02/14/1963,04/12/1965,Yes,No,Yes,Yes,1963,2
DR-144,Disaster,1963-02-25,OR,,Flood,Floods,02/25/1963,02/25/1963,02/28/1964,Yes,No,Yes,Yes,1963,2
DR-145,Disaster,1963-02-25,CA,,Flood,"Severe Storms, Heavy Rains, and Flooding",02/25/1963,02/25/1963,07/09/1965,Yes,No,Yes,Yes,1963,2
DR-146,Disaster,1963-03-02,WA,,Flood,Floods,03/02/1963,03/02/1963,03/18/1965,Yes,No,Yes,Yes,1963,3
DR-147,Disaster,1963-03-13,WV,,Flood,Severe Storms and Flooding,03/13/1963,03/13/1963,08/08/1969,Yes,No,Yes,Yes,1963,3
DR-148,Disaster,1963-03-13,KY,,Flood,Severe Storms and Flooding,03/13/1963,03/13/1963,10/04/1972,Yes,No,Yes,Yes,1963,3
DR-149,Disaster,1963-03-21,VA,,Flood,Floods,03/21/1963,03/21/1963,07/09/1965,Yes,No,Yes,Yes,1963,3
DR-150,Disaster,1963-03-26,GA,,Flood,Severe Storms and Flooding,03/26/1963,03/26/1963,04/22/1964,Yes,No,Yes,Yes,1963,3
DR-151,Disaster,1963-03-27,TN,,Flood,Severe Storms and Flooding,03/27/1963,03/27/1963,07/06/1964,Yes,No,Yes,Yes,1963,3
DR-152,Disaster,1963-04-24,HI,,Flood,Heavy Rains and Flooding,04/24/1963,04/24/1963,03/05/1965,Yes,No,Yes,Yes,1963,4
DR-153,Disaster,1963-04-30,GU,,Typhoon,Typhoon Olive,04/30/1963,04/30/1963,07/26/1967,Yes,No,Yes,Yes,1963,4
DR-154,Disaster,1963-04-30,FM,,Typhoon,Typhoon Olive,04/30/1963,04/30/1963,09/27/1967,Yes,No,Yes,No,1963,4
DR-155,Disaster,1963-07-04,WY,,Flood,Heavy Rains and Flooding,07/04/1963,07/04/1963,12/03/1964,Yes,No,Yes,Yes,1963,7
DR-156,Disaster,1963-07-17,NE,,Flood,Heavy Rains and Flooding,07/17/1963,07/17/1963,04/12/1965,Yes,No,Yes,Yes,1963,7
DR-157,Disaster,1963-08-02,AR,,Flood,Heavy Rains and Flooding,08/02/1963,08/02/1963,06/27/1966,Yes,No,Yes,Yes,1963,8
DR-158,Disaster,1963-08-23,NY,,Flood,Heavy Rains and Flooding,08/23/1963,08/23/1963,08/23/1965,Yes,No,Yes,Yes,1963,8
DR-159,Disaster,1963-09-24,TX,,Hurricane,Hurricane Cindy,09/24/1963,09/24/1963,01/28/1966,Yes,No,Yes,Yes,1963,9
DR-160,Disaster,1963-11-27,VT,,Drought,Drought and Impending Freeze,11/27/1963,11/27/1963,06/18/1964,Yes,No,Yes,Yes,1963,11
DR-161,Disaster,1963-12-21,CA,,Dam/Levee Break,Flood Due to Broken Dam,12/21/1963,12/21/1963,06/19/1965,Yes,No,Yes,Yes,1963,12
DR-162,Disaster,1964-03-17,IN,,Flood,Severe Storms and Flooding,03/17/1964,03/17/1964,12/16/1966,Yes,No,Yes,Yes,1964,3
DR-163,Disaster,1964-03-17,KY,,Flood,Severe Storms and Flooding,03/17/1964,03/17/1964,03/01/1971,Yes,No,Yes,Yes,1964,3
DR-164,Disaster,1964-03-17,VT,,Flood,Flooding,03/17/1964,03/17/1964,01/28/1966,Yes,No,Yes,Yes,1964,3
DR-165,Disaster,1964-03-20,WV,,Flood,Severe Storms and Flooding,03/20/1964,03/20/1964,07/27/1966,Yes,No,Yes,Yes,1964,3
DR-166,Disaster,1964-03-20,AR,,Flood,Severe Storms and Flooding,03/20/1964,03/20/1964,02/07/1966,Yes,No,Yes,Yes,1964,3
DR-167,Disaster,1964-03-24,OH,,Flood,Severe Storms and Flooding,03/24/1964,03/24/1964,03/24/1967,Yes,No,Yes,Yes,1964,3
DR-168,Disaster,1964-03-28,AK,,Earthquake,Earthquake,03/28/1964,03/28/1964,06/17/1971,Yes,No,Yes,Yes,1964,3
DR-169,Disaster,1964-04-01,CA,,Other,Seismic Sea Wave,04/01/1964,04/01/1964,01/19/1967,Yes,No,Yes,Yes,1964,4
DR-170,Disaster,1964-05-26,PR,,Drought,Extreme Drought Conditions,05/26/1964,05/26/1964,07/12/1966,Yes,No,Yes,Yes,1964,5
DR-171,Disaster,1964-06-08,VI,,Drought,Extreme Drought Conditions,06/08/1964,06/08/1964,07/12/1966,Yes,No,Yes,Yes,1964,6
DR-172,Disaster,1964-06-09,MT,,Flood,Heavy Rains and Flooding,06/09/1964,06/09/1964,04/25/1972,Yes,No,Yes,Yes,1964,6
DR-173,Disaster,1964-07-08,MO,,Flood,Severe Storms and Flooding,07/08/1964,07/08/1964,07/26/1967,Yes,No,Yes,Yes,1964,7
DR-174,Disaster,1964-07-20,NE,,Flood,Severe Storms and Flooding,07/20/1964,07/20/1964,01/10/1967,Yes,No,Yes,Yes,1964,7
DR-175,Disaster,1964-09-08,FL,,Hurricane,Hurricane Cleo,09/08/1964,09/08/1964,01/18/1966,Yes,No,Yes,Yes,1964,9
DR-176,Disaster,1964-09-10,FL,,Hurricane,Hurricane Dora,09/10/1964,09/10/1964,08/08/1966,Yes,No,Yes,Yes,1964,9
DR-177,Disaster,1964-09-10,GA,,Hurricane,Hurricane Dora,09/10/1964,09/10/1964,04/18/1966,Yes,No,Yes,Yes,1964,9
DR-178,Disaster,1964-10-03,LA,,Hurricane,Hurricane Hilda,10/03/1964,10/03/1964,01/17/1967,Yes,No,Yes,Yes,1964,10
DR-179,Disaster,1964-10-13,NC,,Flood,Severe Storms and Flooding,10/13/1964,10/13/1964,03/07/1966,Yes,No,Yes,Yes,1964,10
DR-180,Disaster,1964-11-04,GA,,Flood,Flooding,11/04/1964,11/04/1964,04/08/1966,Yes,No,Yes,Yes,1964,11
DR-181,Disaster,1964-12-10,FM,,Typhoon,Typhoon Louise,12/10/1964,12/10/1964,08/29/1967,Yes,No,Yes,No,1964,12
DR-182,Disaster,1964-12-18,MT,,Snow,Severe Winter Storm,12/18/1964,12/18/1964,01/07/1966,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Alpine County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Amador County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Butte County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Colusa County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Del Norte County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
