declarationNumber,declarationType,declarationDate,year,month,quarter,day,dayOfWeek,state,stateName,region,county,incidentType,disasterTitle,startDate,endDate,closeDate
DR-178,Disaster,1964-10-03,1964.0,10.0,4.0,3.0,Saturday,LA,Louisiana,South,,Hurricane,Hurricane Hilda,1964-10-03,1964-10-03,
DR-180,Disaster,1964-11-04,1964.0,11.0,4.0,4.0,Wednesday,GA,Georgia,South,,Flood,Flooding,1964-11-04,1964-11-04,1966-04-08
DR-181,Disaster,1964-12-10,1964.0,12.0,4.0,10.0,Thursday,FM,,,,Typhoon,Typhoon Louise,1964-12-10,1964-12-10,
DR-188,Disaster,1965-04-11,1965.0,4.0,2.0,11.0,Sunday,MN,Minnesota,Midwest,Aitkin County,Flood,Flooding,1965-04-11,1965-04-11,
DR-195,Disaster,1965-05-10,1965.0,5.0,2.0,10.0,Monday,ND,North Dakota,Midwest,Barnes County,Flood,Flooding,1965-05-10,1965-05-10,1967-11-07
DR-196,Disaster,1965-05-11,1965.0,5.0,2.0,11.0,Tuesday,WA,Washington,West,King County,Earthquake,Earthquake,1965-05-11,1965-05-11,
DR-202,Disaster,1965-07-01,1965.0,7.0,3.0,1.0,Thursday,NM,New Mexico,West,Colfax County,Flood,Severe Storms and Flooding,1965-07-01,1965-07-01,
DR-208,Disaster,1965-09-10,1965.0,9.0,3.0,10.0,Friday,LA,Louisiana,South,Ward 9 Police Jury Ward,Hurricane,Hurricane Betsy,1965-09-10,1965-09-10,
DR-211,Disaster,1965-12-07,1965.0,12.0,4.0,7.0,Tuesday,CA,California,West,Riverside County,Flood,Heavy Rains and Flooding,1965-12-07,1965-12-07,1970-03-03
DR-213,Disaster,1966-02-10,1966.0,2.0,1.0,10.0,Thursday,AS,American Samoa,Territory,Eastern District,Typhoon,Typhoon and High Tides,1966-02-10,1966-02-10,1968-08-12
DR-218,Disaster,1966-05-12,1966.0,5.0,2.0,12.0,Thursday,TX,Texas,South,Anderson County,Flood,Severe Storms and Flooding,1966-05-12,1966-05-12,1968-06-12
DR-219,Disaster,1966-06-10,1966.0,6.0,2.0,10.0,Friday,KS,Kansas,Midwest,Riley County,Tornado,Tornadoes and Severe Storms,1966-06-10,1966-06-10,
DR-220,Disaster,1966-07-09,1966.0,7.0,3.0,9.0,Saturday,ND,North Dakota,Midwest,Grant County,Flood,Severe Storms and Flooding,1966-07-09,1966-07-09,1968-08-12
DR-223,Disaster,1967-01-02,1967.0,1.0,1.0,2.0,Monday,CA,California,West,Inyo County,Flood,Severe Storms and Flooding,1967-01-02,1967-01-02,1970-04-10
DR-234,Disaster,1968-02-10,1968.0,2.0,1.0,10.0,Saturday,NC,North Carolina,South,Beaufort County,Ice,Severe Ice Storm,1968-02-10,1968-02-10,
DR-236,Disaster,1968-05-03,1968.0,5.0,2.0,3.0,Friday,AR,Arkansas,South,Crawford County,Tornado,Tornado and Severe Storm,1968-05-03,1968-05-03,
DR-237,Disaster,1968-05-04,1968.0,5.0,2.0,4.0,Saturday,KY,Kentucky,South,Bracken County,Tornado,Tornadoes and Severe Storms,1968-05-04,1968-05-04,
DR-238,Disaster,1968-05-04,1968.0,5.0,2.0,4.0,Saturday,OH,Ohio,Midwest,Brown County,Tornado,Tornadoes and Severe Storms,1968-05-04,1968-05-04,1971-03-01
DR-242,Disaster,1968-06-05,1968.0,6.0,2.0,5.0,Wednesday,IL,Illinois,Midwest,Champaign County,Tornado,"Tornadoes, Severe Storms, and Flooding",1968-06-05,1968-06-05,
DR-243,Disaster,1968-06-05,1968.0,6.0,2.0,5.0,Wednesday,OH,Ohio,Midwest,Adams County,Flood,Heavy Rains and Flooding,1968-06-05,1968-06-05,
DR-244,Disaster,1968-06-10,1968.0,6.0,2.0,10.0,Monday,TX,Texas,South,Hill County,Flood,Heavy Rains and Flooding,1968-06-10,1968-06-10,
DR-246,Disaster,1968-07-05,1968.0,7.0,3.0,5.0,Friday,TX,Texas,South,Aransas County,Flood,"Severe Storms, High Winds, and Flooding",1968-07-05,1968-07-05,
DR-248,Disaster,1968-08-04,1968.0,8.0,3.0,4.0,Sunday,IA,Iowa,Midwest,Black Hawk County,Flood,Heavy Rains and Flooding,1968-08-04,1968-08-04,1972-02-07
DR-250,Disaster,1968-09-09,1968.0,9.0,3.0,9.0,Monday,MN,Minnesota,Midwest,Roseau County,Flood,Heavy Rains and Flooding,1968-09-09,1968-09-09,1971-03-01
DR-252,Disaster,1968-11-07,1968.0,11.0,4.0,7.0,Thursday,FL,Florida,South,Charlotte County,Hurricane,Hurricane Gladys,1968-11-07,1968-11-07,1971-03-02
DR-260,Disaster,1969-05-01,1969.0,5.0,2.0,1.0,Thursday,WI,Wisconsin,Midwest,Ashland County,Flood,Flooding,1969-05-01,1969-05-01,1972-03-10
DR-262,Disaster,1969-06-06,1969.0,6.0,2.0,6.0,Friday,IL,Illinois,Midwest,Adams County,Flood,Flooding,1969-06-06,1969-06-06,
DR-263,Disaster,1969-07-11,1969.0,7.0,3.0,11.0,Friday,TN,Tennessee,South,Clay County,Flood,Severe Storms and Flooding,1969-07-11,1969-07-11,
DR-264,Disaster,1969-07-11,1969.0,7.0,3.0,11.0,Friday,WI,Wisconsin,Midwest,Grant County,Flood,Severe Storms and Flooding,1969-07-11,1969-07-11,
DR-268,Disaster,1969-08-05,1969.0,8.0,3.0,5.0,Tuesday,MN,Minnesota,Midwest,Jackson County,Flood,Heavy Rains and Flooding,1969-08-05,1969-08-05,
DR-278,Disaster,1969-09-03,1969.0,9.0,3.0,3.0,Wednesday,WV,West Virginia,South,Greenbrier County,Hurricane,Severe Storms and Flooding,1969-09-03,1969-09-03,
DR-280,Disaster,1969-11-07,1969.0,11.0,4.0,7.0,Friday,AL,Alabama,South,Baldwin County,Hurricane,Hurricane Camille,1969-11-07,1969-11-07,
DR-282,Disaster,1970-02-02,1970.0,2.0,1.0,2.0,Monday,KY,Kentucky,South,Bell County,Flood,"Heavy Snowmelt, Rains, and Flooding",1970-02-02,1970-02-02,
DR-285,Disaster,1970-04-09,1970.0,4.0,2.0,9.0,Thursday,AL,Alabama,South,Chambers County,Storm,"Heavy Rains, Tornadoes, and Flooding",1970-04-09,1970-04-09,1973-01-05
DR-287,Disaster,1970-06-05,1970.0,6.0,2.0,5.0,Friday,ND,North Dakota,Midwest,Bottineau County,Flood,Severe Storms and Flooding,1970-06-05,1970-06-05,
DR-288,Disaster,1970-06-05,1970.0,6.0,2.0,5.0,Friday,KY,Kentucky,South,Bullitt County,Flood,Severe Storms and Flooding,1970-06-05,1970-06-05,
DR-289,Disaster,1970-07-03,1970.0,7.0,3.0,3.0,Friday,FL,Florida,South,Escambia County,Flood,Heavy Rains and Flooding,1970-07-03,1970-07-03,1972-03-03
DR-292,Disaster,1970-08-04,1970.0,8.0,3.0,4.0,Tuesday,TX,Texas,South,Aransas County,Hurricane,Hurricane Celia,1970-08-04,1970-08-04,
DR-296,Disaster,1970-10-12,1970.0,10.0,4.0,12.0,Monday,PR,Puerto Rico,Territory,Adjuntas Municipio,Flood,Heavy Rains and Flooding,1970-10-12,1970-10-12,
DR-299,Disaster,1971-02-09,1971.0,2.0,1.0,9.0,Tuesday,CA,California,West,Los Angeles County,Earthquake,San Fernando Earthquake,1971-02-09,1971-02-09,
DR-300,Disaster,1971-02-09,1971.0,2.0,1.0,9.0,Tuesday,WA,Washington,West,Columbia County,Flood,"Heavy Rains, Melting Snows, and Flooding",1971-02-09,1971-02-09,
DR-305,Disaster,1971-05-10,1971.0,5.0,2.0,10.0,Monday,KY,Kentucky,South,Adair County,Tornado,Tornado,1971-05-10,1971-05-10,1973-10-01
DR-308,Disaster,1971-07-07,1971.0,7.0,3.0,7.0,Wednesday,NE,Nebraska,Midwest,Cedar County,Flood,Floods,1971-07-07,1971-07-07,
DR-310,Disaster,1971-09-04,1971.0,9.0,3.0,4.0,Saturday,NJ,New Jersey,Northeast,Atlantic County,Flood,Heavy Rains and Flooding,1971-09-04,1971-09-04,1976-11-12
DR-316,Disaster,1972-01-11,1972.0,1.0,1.0,11.0,Tuesday,CA,California,West,Santa Barbara County,Flood,"Winds, Flooding, and Mudslides",1972-01-11,1972-01-11,
DR-322,Disaster,1972-02-01,1972.0,2.0,1.0,1.0,Tuesday,WA,Washington,West,Asotin County,Flood,Severe Storms and Flooding,1972-02-01,1972-02-01,
DR-324,Disaster,1972-03-02,1972.0,3.0,1.0,2.0,Thursday,ID,Idaho,West,Latah County,Flood,Severe Storms and Extensive Flooding,1972-03-02,1972-03-02,
DR-325,Disaster,1972-03-06,1972.0,3.0,1.0,6.0,Monday,MA,Massachusetts,Northeast,"Essex County(in PMSA 1120,4160,7090",Flood,Severe Storms and Flooding,1972-03-06,1972-03-06,1977-02-04
DR-326,Disaster,1972-03-07,1972.0,3.0,1.0,7.0,Tuesday,ME,Maine,Northeast,Cumberland County,Flood,Severe Storms and Flooding,1972-03-07,1972-03-07,
DR-329,Disaster,1972-04-05,1972.0,4.0,2.0,5.0,Wednesday,CA,California,West,Del Norte County,Flood,Severe Storms and Flooding,1972-04-05,1972-04-05,
DR-330,Disaster,1972-04-05,1972.0,4.0,2.0,5.0,Wednesday,MI,Michigan,Midwest,Allegan County,Snow,Severe Storm and Freezing,1972-04-05,1972-04-05,
DR-334,Disaster,1972-06-10,1972.0,6.0,2.0,10.0,Saturday,WA,Washington,West,Chelan County,Flood,Severe Storms and Flooding,1972-06-10,1972-06-10,
DR-335,Disaster,1972-06-10,1972.0,6.0,2.0,10.0,Saturday,ND,North Dakota,Midwest,Grant County,Flood,Severe Storms and Flooding,1972-06-10,1972-06-10,
DR-336,Disaster,1972-06-10,1972.0,6.0,2.0,10.0,Saturday,SD,South Dakota,Midwest,Custer County,Flood,Heavy Rains and Flooding,1972-06-10,1972-06-10,
DR-343,Disaster,1972-07-03,1972.0,7.0,3.0,3.0,Monday,AZ,Arizona,West,Maricopa County,Flood,Severe Storms and Flooding,1972-07-03,1972-07-03,1977-03-07
DR-344,Disaster,1972-07-03,1972.0,7.0,3.0,3.0,Monday,WV,West Virginia,South,Barbour County,Flood,Tropical Storm Agnes,1972-07-03,1972-07-03,
DR-346,Disaster,1972-08-01,1972.0,8.0,3.0,1.0,Tuesday,NM,New Mexico,West,McKinley County,Flood,Severe Storms and Flooding,1972-08-01,1972-08-01,
DR-347,Disaster,1972-08-01,1972.0,8.0,3.0,1.0,Tuesday,MN,Minnesota,Midwest,Aitkin County,Flood,Severe Storms and Flooding,1972-08-01,1972-08-01,1977-03-09
DR-351,Disaster,1972-09-04,1972.0,9.0,3.0,4.0,Monday,IL,Illinois,Midwest,Cook County,Flood,Severe Storms and Flooding,1972-09-04,1972-09-04,1976-06-04
DR-352,Disaster,1972-09-10,1972.0,9.0,3.0,10.0,Sunday,WI,Wisconsin,Midwest,Ashland County,Flood,Heavy Rains and Flooding,1972-09-10,1972-09-10,
DR-358,Disaster,1972-10-07,1972.0,10.0,4.0,7.0,Saturday,VA,Virginia,South,Alexandria,Flood,Severe Storms and Flooding,1972-10-07,1972-10-07,
DR-359,Disaster,1972-10-10,1972.0,10.0,4.0,10.0,Tuesday,VA,Virginia,South,Alexandria,Flood,Severe Storms and Flooding,1972-10-10,1972-10-10,1979-09-10
DR-363,Disaster,1972-12-01,1972.0,12.0,4.0,1.0,Friday,MI,Michigan,Midwest,Arenac County,Flood,Severe Storms and Flooding,1972-12-01,1972-12-01,
DR-364,Disaster,1973-02-08,1973.0,2.0,1.0,8.0,Thursday,CA,California,West,Marin County,Flood,"Severe Storms, High Tides, and Flooding",1973-02-08,1973-02-08,
DR-365,Disaster,1973-03-12,1973.0,3.0,1.0,12.0,Monday,TX,Texas,South,Burnet County,Storm,"High Winds, Tornadoes, and Flooding",1973-03-12,1973-03-12,1976-02-12
DR-370,Disaster,1973-04-04,1973.0,4.0,2.0,4.0,Wednesday,GA,Georgia,South,Catoosa County,Tornado,Tornadoes and Flooding,1973-04-04,1973-04-04,
DR-371,Disaster,1973-04-12,1973.0,4.0,2.0,12.0,Thursday,MI,Michigan,Midwest,Arenac County,Flood,Severe Storms and Flooding,1973-04-12,1973-04-12,
DR-378,Disaster,1973-05-02,1973.0,5.0,2.0,2.0,Wednesday,KS,Kansas,Midwest,Atchison County,Flood,Severe Storms and Flooding,1973-05-02,1973-05-02,
DR-379,Disaster,1973-05-08,1973.0,5.0,2.0,8.0,Tuesday,CO,Colorado,West,Weld County,Dam/Levee Break,Dam Failure,1973-05-08,1973-05-08,1976-08-02
DR-380,Disaster,1973-05-11,1973.0,5.0,2.0,11.0,Friday,NM,New Mexico,West,Colfax County,Flood,"Severe Storms, Snow Melt, and Flooding",1973-05-11,1973-05-11,1977-11-01
DR-381,Disaster,1973-05-11,1973.0,5.0,2.0,11.0,Friday,KY,Kentucky,South,Ballard County,Flood,Severe Storms and Flooding,1973-05-11,1973-05-11,
DR-382,Disaster,1973-05-11,1973.0,5.0,2.0,11.0,Friday,TN,Tennessee,South,Dyer County,Flood,Severe Storms and Flooding,1973-05-11,1973-05-11,
DR-390,Disaster,1973-06-04,1973.0,6.0,2.0,4.0,Monday,OH,Ohio,Midwest,Hamilton County,Mud/Landslide,Mudslides,1973-06-04,1973-06-04,
DR-391,Disaster,1973-06-11,1973.0,6.0,2.0,11.0,Monday,GA,Georgia,South,Clarke County,Tornado,Severe Storms and Tornadoes,1973-06-11,1973-06-11,1976-10-07
DR-396,Disaster,1973-07-06,1973.0,7.0,3.0,6.0,Friday,CO,Colorado,West,Alamosa County,Flood,Flooding and Landslides,1973-07-06,1973-07-06,
DR-397,Disaster,1973-07-06,1973.0,7.0,3.0,6.0,Friday,VT,Vermont,Northeast,Addison County,Flood,"Severe Storms, Flooding, and Landslides",1973-07-06,1973-07-06,1976-11-12
DR-398,Disaster,1973-07-11,1973.0,7.0,3.0,11.0,Wednesday,TX,Texas,South,Brazoria County,Flood,Severe Storms and Flooding,1973-07-11,1973-07-11,
DR-399,Disaster,1973-07-11,1973.0,7.0,3.0,11.0,Wednesday,NH,New Hampshire,Northeast,Belknap County,Flood,Severe Storms and Flooding,1973-07-11,1973-07-11,
DR-402,Disaster,1973-08-07,1973.0,8.0,3.0,7.0,Tuesday,NJ,New Jersey,Northeast,Essex County,Flood,Severe Storms and Flooding,1973-08-07,1973-08-07,
DR-407,Disaster,1973-11-01,1973.0,11.0,4.0,1.0,Thursday,MO,Missouri,Midwest,Adair County,Flood,Severe Storms and Flooding,1973-11-01,1973-11-01,
DR-408,Disaster,1973-11-07,1973.0,11.0,4.0,7.0,Wednesday,AK,Alaska,West,Tanana ANV/ANVSA,Flood,Heavy Rains and Flooding,1973-11-07,1973-11-07,1978-08-01
DR-409,Disaster,1973-12-10,1973.0,12.0,4.0,10.0,Monday,OK,Oklahoma,South,Adair County,Flood,Severe Storms and Flooding,1973-12-10,1973-12-10,
DR-420,Disaster,1974-04-04,1974.0,4.0,2.0,4.0,Thursday,KY,Kentucky,South,Anderson County,Tornado,Tornadoes,1974-04-04,1974-04-04,
DR-421,Disaster,1974-04-04,1974.0,4.0,2.0,4.0,Thursday,OH,Ohio,Midwest,Adams County,Tornado,Tornadoes,1974-04-04,1974-04-04,
DR-422,Disaster,1974-04-04,1974.0,4.0,2.0,4.0,Thursday,AL,Alabama,South,Blount County,Tornado,Tornadoes,1974-04-04,1974-04-04,1978-11-03
DR-423,Disaster,1974-04-04,1974.0,4.0,2.0,4.0,Thursday,IN,Indiana,Midwest,Adams County,Tornado,Tornadoes,1974-04-04,1974-04-04,
DR-424,Disaster,1974-04-04,1974.0,4.0,2.0,4.0,Thursday,TN,Tennessee,South,Bedford County,Tornado,Tornadoes,1974-04-04,1974-04-04,
DR-425,Disaster,1974-04-05,1974.0,4.0,2.0,5.0,Friday,GA,Georgia,South,Bartow County,Tornado,Tornadoes,1974-04-05,1974-04-05,
DR-426,Disaster,1974-04-11,1974.0,4.0,2.0,11.0,Thursday,WV,West Virginia,South,Fayette County,Flood,Severe Storms and Flooding,1974-04-11,1974-04-11,
DR-427,Disaster,1974-04-11,1974.0,4.0,2.0,11.0,Thursday,IL,Illinois,Midwest,Champaign County,Tornado,Tornadoes,1974-04-11,1974-04-11,
DR-428,Disaster,1974-04-12,1974.0,4.0,2.0,12.0,Friday,NC,North Carolina,South,Burke County,Tornado,Tornadoes,1974-04-12,1974-04-12,1976-08-02
DR-429,Disaster,1974-04-12,1974.0,4.0,2.0,12.0,Friday,MI,Michigan,Midwest,Hillsdale County,Tornado,Tornadoes,1974-04-12,1974-04-12,
DR-432,Disaster,1974-05-07,1974.0,5.0,2.0,7.0,Tuesday,CA,California,West,Mendocino County,Flood,Severe Storms and Flooding,1974-05-07,1974-05-07,
DR-433,Disaster,1974-05-07,1974.0,5.0,2.0,7.0,Tuesday,HI,Hawaii,West,Honolulu County,Flood,Heavy Rains and Flooding,1974-05-07,1974-05-07,1977-03-07
DR-437,Disaster,1974-06-08,1974.0,6.0,2.0,8.0,Saturday,AR,Arkansas,South,Benton County,Flood,Severe Storms and Flooding,1974-06-08,1974-06-08,
DR-438,Disaster,1974-06-10,1974.0,6.0,2.0,10.0,Monday,IL,Illinois,Midwest,Adams County,Flood,Severe Storms and Flooding,1974-06-10,1974-06-10,
DR-439,Disaster,1974-06-10,1974.0,6.0,2.0,10.0,Monday,MO,Missouri,Midwest,Adair County,Flood,Severe Storms and Flooding,1974-06-10,1974-06-10,
DR-440,Disaster,1974-06-10,1974.0,6.0,2.0,10.0,Monday,MN,Minnesota,Midwest,Becker County,Flood,Heavy Rains and Flooding,1974-06-10,1974-06-10,
